MLA_horizon_id,IPL17O_mean_dp17Ocarb,IPL17O_sd_dp17Ocarb,IPL17O_se_dp17Ocarb,IPL17O_n_dp17Ocarb,IPL17O_mean_dp18Ocarb,IPL17O_sd_dp18Ocarb,IPL17O_se_dp18Ocarb,IPL17O_n_dp18Ocarb,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_n_Dp17Ocarb,IPL17O_n_analyses,strat_height_m,IPL17O_sd_Dp17Ocarb_adj,IPL17O_se_Dp17Ocarb_adj,IPL17O_ci95_Dp17Ocarb_adj,IPL17O_mean_d17Ocarb,IPL17O_mean_d18Ocarb,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_min_T47_C,IPLD47_max_T47_C,IPLD47_range_T47_C,IPL_NuDog_d13Ccarb_VPDB,IPL_NuDog_d18Ocarb_VPDB,IPL_NuDog_d18Ocarb_VSMOW,IPLD47_sessions,IPLD47_IPLnums,IPLD47_sample_type,CU_sample_id,CU_mean_d13Ccarb_vpdb,CU_mean_d18Ocarb_vpdb,CU_se_d18Ocarb_vpdb,CU_mean_d18Ocarb_vsmow,CU_mean_D47_ICDES,CU_se_D47_ICDES,CU_mean_T47_C,CU_2se_T47_C,CU_mean_d18Ow_vsmow,CU_se_d18Ow_vsmow,Snell_sample_id,Snell_Age_Ma,Snell_sample_type,Snell_mean_d18Ow_vsmow,Snell_mean_d18Ocarb_vsmow,Snell_mean_d13Ccarb_vpdb,Snell_mean_D47,Snell_se_D47,Snell_mean_T47_C,Snell_se_T47_C,Snell_sample_group,Koch_mean_d13Ccarb_vpdb,Koch_se_d13Ccarb_vpdb,Koch_n_d13Ccarb,Koch_mean_d18Ocarb_vpdb,Koch_se_d18Ocarb_vpdb,Koch_n_d18Ocarb_vpdb,Koch_mean_d18Ocarb_vsmow,Koch_se_d18Ocarb_vsmow,Koch_n_d18Ocarb_vsmow,Bowen_mean_d13Ccarb_vpdb,Bowen_se_d13Ccarb_vpdb,Bowen_n_d13Ccarb,Bowen_mean_d18Ocarb_vpdb,Bowen_se_d18Ocarb_vpdb,Bowen_n_d18Ocarb_vpdb,Bowen_mean_d18Ocarb_vsmow,Bowen_se_d18Ocarb_vsmow,Bowen_n_d18Ocarb_vsmow,Age_Ma,stage,exclude_nuclear,exclude_moderate,exclude_conservative,exclude_heavy,exclude_heavy_moderate,exclude_all_suspect,exclude_from_temp_model,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47,is_snell,d18Ocarb_vsmow,d18Ocarb_se_vsmow,d18Ocarb_source,d18Ocarb_missing_flag,T_recon_C,T_recon_se_C,T_recon_source,d18Ocarb_se_used_vsmow,d18Ow_mean_vsmow,d18Ow_median_vsmow,d18Ow_sd_vsmow,d18Ow_lower95_vsmow,d18Ow_upper95_vsmow,D17Orsw_mean_permeg,D17Orsw_median_permeg,D17Orsw_sd_permeg,D17Orsw_lower95_permeg,D17Orsw_upper95_permeg
PK95-SC-92,9.907123156,0.02465942409821082,0.01743684599999983,2,18.962640795,9.555133934196189e-5,6.756500000015819e-5,2,-105.151183685,24.608973747642864,17.401172214999995,2,2,1210,24.608973747642864,17.401172214999995,34.10629754139999,9.956361168633745,19.143573512497404,3,28.6,3.858756276314949,2.227853974867594,24.9,32.6,7.700000000000003,-8.747416191666668,-8.226551356,22.439083676666662,"Session 1, Session 2","4761, 4763, 4843",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.82,NA,1,-7.87,NA,1,22.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.67013651174755,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,30.339826989594066,4.496788977827524,21.52612059305212,39.15353338613601,28.6,2.227853974867594,1,IPL,30.34,TRUE,FALSE,22.8,NA,Koch,NA,28.6,2.227853974867594,IPL measured T47,0.15,-4.769179874196544,-4.769057601203258,0.46030308232560224,-5.6710208440026575,-3.873370709188069,-23.065800587195522,-22.972710450089195,17.516735826506235,-57.387943693340745,10.856611049622567
PK95-SC-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.87,NA,1,-8.68,NA,1,21.96,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.57691064997427,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,29.840749563437388,4.496788977827524,21.02704316689544,38.65445595997934,NA,NA,0,NA,NA,FALSE,FALSE,21.96,NA,Koch,NA,29.840749563437388,4.496788977827524,modeled/interpolated T,0.15,-5.3605559656538935,-5.340175589461182,0.8997732345321335,-7.1641298742493635,-3.6300246951152646,NA,NA,NA,NA,NA
SNELL-SC-188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC-188,56.2,Paleosol Micrite,-5.6,21.4,-6.9,0.618,0.025,31.4,6.1,Primary paleosol micrite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.50699125364432,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,30.398335732720778,4.406151003616044,21.76227976563333,39.03439169980822,31.399999999999995,6.1,1,Snell,30.4,TRUE,TRUE,21.4,NA,Snell,NA,30.398335732720778,4.406151003616044,modeled/interpolated T,0.15,-5.813238076828416,-5.800020043061863,0.8682892244154872,-7.522502421560509,-4.13314838694399,NA,NA,NA,NA,NA
PK95-SC-188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.6,0.05131601439446882,3,-8.523333333333333,0.11140516644712288,3,22.123333333333335,0.11464922347946643,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.50699125364432,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,30.398335732720778,4.406151003616044,21.76227976563333,39.03439169980822,NA,NA,0,NA,NA,FALSE,FALSE,22.123333333333335,0.11464922347946643,Koch,NA,30.398335732720778,4.406151003616044,modeled/interpolated T,0.11464922347946643,-5.087937837519644,-5.076161915645798,0.8632570022015327,-6.840207368142418,-3.434081933164731,NA,NA,NA,NA,NA
SNELL-SC-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC-62,56,Paleosol Micrite,-4.5,22.6,-8.1,0.619,0.017,31.2,4.3,Primary paleosol micrite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.448725090036014,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,33.12434525176777,4.406151003616044,24.488289284680327,41.760401218855215,31.2,4.3,1,Snell,33.11666666666667,TRUE,TRUE,22.6,NA,Snell,NA,33.12434525176777,4.406151003616044,modeled/interpolated T,0.15,-4.106500108285398,-4.0833136648137724,0.8563539822141849,-5.809187991944225,-2.449182746770592,NA,NA,NA,NA,NA
PK95-SC-118up,11.311104145,0.661216321833932,0.4675505449999999,2,21.59128778,1.2619874023872208,0.8923598500000001,2,-89.09580313500001,5.113024498129056,3.615454294999999,2,2,1325,12,8.48528137423857,16.631151493507595,11.375316559548043,21.82606631297879,4,36.75,3.1890437438203967,1.5945218719101983,32.9,40.7,7.800000000000004,-8.77155913625,-9.680021705,20.9406720225,"Session 1, Session 2","4700, 4760, 4837, 4839",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.75,0.17785762095938798,3,-9.546666666666669,0.26295331229030844,3,21.066666666666663,0.2716820036570537,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.40211215914937,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38.09267394234037,3.1633315770982127,31.892544051227873,44.292803833452865,36.75,1.5945218719101983,1,IPL,38.1,TRUE,FALSE,21.066666666666663,0.2716820036570537,Koch,NA,36.75,1.5945218719101983,IPL measured T47,0.2716820036570537,-4.904098151162172,-4.898794362868557,0.40222252812355647,-5.690589457948054,-4.122108604663365,3.3169609815720866,-6.9110474419048495,650.6141766537733,-1249.7725307920666,1294.2881031494883
PK95-SC-176,12.23592025,0.15448004870877025,0.1092338899999996,2,23.33171675,0.29213006507075706,0.2065671499999997,2,-83.22619893,0.2353763171677037,0.16643618999999887,2,2,1355,12,8.48528137423857,16.631151493507595,12.311085380844355,23.606030502405066,4,46.35,5.995831885568506,2.997915942784253,40,54.4,14.4,-9.236314963,-8.3722477025,22.2888823975,"Session 1, Session 2","4615, 4766, 4936, 4946",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.67,NA,1,-8.29,NA,1,22.36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.33219276281941,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,39.74527601049478,3.1633315770982127,33.54514611938228,45.94540590160727,46.35,2.997915942784253,1,IPL,39.74444444444445,TRUE,FALSE,22.36,NA,Koch,NA,46.35,2.997915942784253,IPL measured T47,0.15,-1.9029886441187804,-1.900831153531669,0.5496877259477136,-2.998468997694525,-0.8394911663015115,-10.403632135405273,-9.007091090215521,152.31013127422597,-311.4480807123004,286.51516671036757
PK95-SC-49,11.587266932,2.100674560980461,1.212825023261868,3,21.99115653,3.973936804755998,2.294353483968437,3,-24.063715781,16.946665035023184,9.784161619837054,3,3,1380,16.946665035023184,9.784161619837054,19.176956774880622,11.654659355939234,22.23474432817074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.27115384615385,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,37.842322919652176,2.175452273113017,33.57843646435066,42.10620937495369,NA,NA,0,NA,NA,FALSE,FALSE,21.99115653,2.294353483968437,IPL17O,NA,37.842322919652176,2.175452273113017,modeled/interpolated T,2.294353483968437,-3.7590638721531313,-3.750265413537079,2.2787639727518867,-8.16744098029251,0.7621688984804534,63.96767533528672,46.81649097774798,1663.0235734586286,-3126.503930534301,3354.506586006367
PK95-SC-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.666666666666667,0.2899041987354523,3,-8.76,0.13228756555322985,3,21.88,0.13796134724383236,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.27115384615385,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,37.842322919652176,2.175452273113017,33.57843646435066,42.10620937495369,NA,NA,0,NA,NA,FALSE,FALSE,21.88,0.13796134724383236,Koch,NA,37.842322919652176,2.175452273113017,modeled/interpolated T,0.13796134724383236,-3.8983350190226265,-3.8998150088637544,0.4203797148714343,-4.716092584765642,-3.0876923818568174,NA,NA,NA,NA,NA
PK95-SC-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.92,0.08000000000000007,2,-8.195,0.15500000000000025,2,22.46,0.16000000000000014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.27115384615385,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,37.842322919652176,2.175452273113017,33.57843646435066,42.10620937495369,NA,NA,0,NA,NA,FALSE,FALSE,22.46,0.16000000000000014,Koch,NA,37.842322919652176,2.175452273113017,modeled/interpolated T,0.16000000000000014,-3.3421553614621846,-3.337371623809304,0.4286682380911789,-4.1877967651194234,-2.515355355597828,NA,NA,NA,NA,NA
PK95-SC-50,10.15385467,NA,NA,1,19.49300254,NA,NA,1,-138.4506651,NA,NA,1,1,1425,12,12,23.52,10.205579974501113,19.684231636070805,3,36.13333333333333,2.829016319029166,1.6333333333333333,33,38.5,5.5,-8.796674565666667,-9.286788227333334,21.34606428,"Session 1, Session 2","4699, 4746, 4842",primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.131625,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,35.47674060424286,2.0086262291584793,31.539833195092243,39.41364801339349,36.13333333333333,1.6333333333333333,1,IPL,35.47402921953095,TRUE,FALSE,21.34606428,NA,IPL_NuDog,NA,36.13333333333333,1.6333333333333333,IPL measured T47,0.15,-4.751123434064651,-4.749667973384419,0.33901986562414504,-5.411517876342293,-4.08938545878666,-62.53118604260742,-61.5160535445276,168.80197713343597,-390.12264220642845,268.19146674868443
